Rank,Ticker,Company,Exchange,Price,Current_Volume,Avg_Volume_6M,Avg_Trading_Dollar_Volume,Market_Cap_B,52W_High,52W_Low,Change_Pct
1,NVDA,NVIDIA Corporation,NASDAQ,191.52,141.0M,182.3M,34934256000,4662.9,212.19,86.62,1.59134
2,TSLA,Tesla Inc.,NASDAQ,431.46,50.4M,74.6M,32191116000,1435.0,498.83,214.25,0.12996
3,META,Meta Platforms Inc.,NASDAQ,668.73,17.0M,19.2M,12839856000,1685.6,796.25,479.8,-0.63004
4,MU,Micron Technology Inc.,NASDAQ,435.28,41.4M,29.4M,12797232000,489.9,438.94,61.54,6.10374
5,GOOGL,Alphabet Inc.,NASDAQ,336.01,26.3M,36.2M,12163562000,4054.8,340.49,140.53,0.43641
6,MSFT,Microsoft Corporation,NASDAQ,481.63,32.5M,25.2M,12137076000,3580.0,555.45,344.79,0.21849
7,AAPL,Apple Inc.,NASDAQ,256.44,33.0M,46.6M,11950150400,3789.2,288.62,169.21,-0.70856
8,AMZN,Amazon.com Inc.,NASDAQ,243.01,40.4M,44.4M,10797644000,2597.8,258.6,161.38,-0.68252
9,AMD,Advanced Micro Devices Inc.,NASDAQ,252.74,26.1M,39.9M,10094426000,411.5,267.08,76.48,0.28171
10,AVGO,Broadcom Inc.,NASDAQ,333.24,22.6M,30.0M,9997200000,1580.0,414.61,138.1,0.13522
11,SLV,iShares Silver Trust,AMEX,105.6,179.5M,72.6M,7666560000,59.8,106.7,26.57,3.94724
12,PLTR,Palantir Technologies Inc.,NASDAQ,157.35,43.4M,44.8M,7049280000,359.4,207.52,66.12,-5.03922
13,SNDK,Sandisk Corporation,NASDAQ,527.63,16.0M,13.1M,6916051300,77.3,531.4625,27.885,9.59641
14,INTC,Intel Corporation,NASDAQ,48.78,200.0M,96.4M,4702192000,243.7,54.6,17.67,11.04029
15,LLY,Eli Lilly and Company,NYSE,1000.0,2.9M,3.6M,3600000000,917.8,1100.0,623.78,-1.51129